Year,Deaths,Population,Crude Rate,Age Adjusted Rate
1999,16599,279040168,5.9,6
2000,16586,281421906,5.9,5.9
2001,16869,284968955,5.9,5.9
2002,17108,287625193,5.9,5.9
2003,16907,290107933,5.8,5.8
2004,16750,292805298,5.7,5.6
2005,17002,295516599,5.8,5.7
2006,16883,298379912,5.7,5.5
2007,17352,301231207,5.8,5.6
2008,18223,304093966,6,5.8
2009,18735,306771529,6.1,5.9
2010,19392,308745538,6.3,6.1
2011,19990,311591917,6.4,6.2
2012,20666,313914040,6.6,6.3
2013,21175,316128839,6.7,6.4
2014,21386,318857056,6.7,6.4
2015,22018,321418820,6.9,6.5
2016,22938,323127513,7.1,6.8
2017,23854,325719178,7.3,6.9
2018,24432,327167434,7.5,7